State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,SUBDIVISION,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif,Rice,8683.38,25870.98,2.979367481326396,ANDAMAN & NICOBAR ISLANDS,2954.7,0.0,376.8,1700.4,877.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif,Rice,921.87,2539.64,2.7548786705283823,ANDAMAN & NICOBAR ISLANDS,2404.7,30.7,534.0,1314.9,525.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn,Rice,1595.5,3788.0,2.3741773738639926,ANDAMAN & NICOBAR ISLANDS,3157.1,109.8,332.2,1797.8,917.3
Andhra Pradesh,ANANTAPUR,1997,Kharif,Rice,35600.0,75400.0,2.1179775280898876,COASTAL ANDHRA PRADESH,972.1,20.7,107.6,662.7,181.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Rice,18000.0,37300.0,2.0722222222222224,COASTAL ANDHRA PRADESH,972.1,20.7,107.6,662.7,181.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Rice,38300.0,96800.0,2.5274151436031334,COASTAL ANDHRA PRADESH,1310.8,48.3,97.2,858.0,307.2
Andhra Pradesh,ANANTAPUR,1998,Rabi,Rice,26600.0,63900.0,2.4022556390977443,COASTAL ANDHRA PRADESH,1310.8,48.3,97.2,858.0,307.2
Andhra Pradesh,ANANTAPUR,1999,Kharif,Rice,37991.0,105082.0,2.765970887841857,COASTAL ANDHRA PRADESH,825.1,2.8,85.4,554.7,182.2
Andhra Pradesh,ANANTAPUR,1999,Rabi,Rice,20258.0,45669.0,2.254368644486129,COASTAL ANDHRA PRADESH,825.1,2.8,85.4,554.7,182.2
Andhra Pradesh,ANANTAPUR,2000,Kharif,Rice,39905.0,117680.0,2.9490038842250343,COASTAL ANDHRA PRADESH,992.3,42.5,88.3,768.9,92.6
Andhra Pradesh,ANANTAPUR,2000,Rabi,Rice,22099.0,57236.0,2.589981447124304,COASTAL ANDHRA PRADESH,992.3,42.5,88.3,768.9,92.6
Andhra Pradesh,ANANTAPUR,2001,Kharif,Rice,32878.0,95609.0,2.9079931869335116,COASTAL ANDHRA PRADESH,1009.3,8.4,124.8,598.1,278.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Rice,38119.0,108906.0,2.857000445971825,COASTAL ANDHRA PRADESH,1009.3,8.4,124.8,598.1,278.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Rice,29066.0,66329.0,2.2820133489300214,COASTAL ANDHRA PRADESH,703.2,28.0,77.1,435.0,163.0
Andhra Pradesh,ANANTAPUR,2002,Rabi,Rice,10960.0,20462.0,1.866970802919708,COASTAL ANDHRA PRADESH,703.2,28.0,77.1,435.0,163.0
Andhra Pradesh,ANANTAPUR,2003,Kharif,Rice,17515.0,44891.0,2.563003140165572,COASTAL ANDHRA PRADESH,1096.8,25.6,72.3,634.1,364.9
Andhra Pradesh,ANANTAPUR,2003,Rabi,Rice,10826.0,25463.0,2.3520229078145207,COASTAL ANDHRA PRADESH,1096.8,25.6,72.3,634.1,364.9
Andhra Pradesh,ANANTAPUR,2004,Kharif,Rice,24335.0,85051.0,3.495007191288268,COASTAL ANDHRA PRADESH,873.6,35.3,109.3,571.5,157.5
Andhra Pradesh,ANANTAPUR,2004,Rabi,Rice,9240.0,21622.0,2.34004329004329,COASTAL ANDHRA PRADESH,873.6,35.3,109.3,571.5,157.5
Andhra Pradesh,ANANTAPUR,2005,Kharif,Rice,25008.0,69972.0,2.797984644913628,COASTAL ANDHRA PRADESH,1221.6,21.6,98.0,743.6,358.4
Andhra Pradesh,ANANTAPUR,2005,Rabi,Rice,23142.0,55587.0,2.401996370235935,COASTAL ANDHRA PRADESH,1221.6,21.6,98.0,743.6,358.4
Andhra Pradesh,ANANTAPUR,2006,Kharif,Rice,22349.0,67427.0,3.0170029978969977,COASTAL ANDHRA PRADESH,1159.6,0.0,156.3,762.6,240.7
Andhra Pradesh,ANANTAPUR,2006,Rabi,Rice,10846.0,31974.0,2.9479992624008853,COASTAL ANDHRA PRADESH,1159.6,0.0,156.3,762.6,240.7
Andhra Pradesh,ANANTAPUR,2007,Kharif,Rice,30000.0,95000.0,3.1666666666666665,COASTAL ANDHRA PRADESH,1099.2,5.1,21.6,892.5,180.0
Andhra Pradesh,ANANTAPUR,2007,Rabi,Rice,14000.0,37000.0,2.642857142857143,COASTAL ANDHRA PRADESH,1099.2,5.1,21.6,892.5,180.0
Andhra Pradesh,ANANTAPUR,2008,Kharif,Rice,30306.0,94615.0,3.1219890450735828,COASTAL ANDHRA PRADESH,1107.5,64.8,147.1,771.4,124.2
Andhra Pradesh,ANANTAPUR,2008,Rabi,Rice,18416.0,49815.0,2.7049847958297133,COASTAL ANDHRA PRADESH,1107.5,64.8,147.1,771.4,124.2
Andhra Pradesh,ANANTAPUR,2009,Kharif,Rice,32226.0,101512.0,3.1500031030844657,COASTAL ANDHRA PRADESH,790.5,0.0,65.1,528.8,196.5
Andhra Pradesh,ANANTAPUR,2009,Rabi,Rice,19428.0,46899.0,2.4139901173563927,COASTAL ANDHRA PRADESH,790.5,0.0,65.1,528.8,196.5
Andhra Pradesh,ANANTAPUR,2010,Kharif,Rice,34973.0,102007.0,2.9167357675921424,COASTAL ANDHRA PRADESH,1712.4,24.1,181.2,954.0,553.1
Andhra Pradesh,ANANTAPUR,2010,Rabi,Rice,24828.0,69394.0,2.794989527952312,COASTAL ANDHRA PRADESH,1712.4,24.1,181.2,954.0,553.1
Andhra Pradesh,ANANTAPUR,2011,Kharif,Rice,37720.0,94531.0,2.5061240721102864,COASTAL ANDHRA PRADESH,861.9,17.9,131.2,628.4,84.4
Andhra Pradesh,ANANTAPUR,2011,Rabi,Rice,10948.0,25542.0,2.333028863719401,COASTAL ANDHRA PRADESH,861.9,17.9,131.2,628.4,84.4
Andhra Pradesh,ANANTAPUR,2012,Kharif,Rice,22056.0,58691.0,2.660999274573812,COASTAL ANDHRA PRADESH,1318.4,37.6,66.1,785.0,429.7
Andhra Pradesh,ANANTAPUR,2012,Rabi,Rice,6998.0,17768.0,2.539011146041726,COASTAL ANDHRA PRADESH,1318.4,37.6,66.1,785.0,429.7
Andhra Pradesh,ANANTAPUR,2013,Kharif,Rice,28114.0,59377.0,2.112008252116383,COASTAL ANDHRA PRADESH,1120.5,31.7,76.4,545.0,467.4
Andhra Pradesh,ANANTAPUR,2013,Rabi,Rice,12283.0,28558.0,2.325002035333388,COASTAL ANDHRA PRADESH,1120.5,31.7,76.4,545.0,467.4
Andhra Pradesh,ANANTAPUR,2014,Kharif,Rice,22658.0,68155.0,3.007988348486186,COASTAL ANDHRA PRADESH,874.9,1.5,128.0,519.7,225.7
Andhra Pradesh,ANANTAPUR,2014,Rabi,Rice,6553.0,14377.0,2.1939569662749885,COASTAL ANDHRA PRADESH,874.9,1.5,128.0,519.7,225.7
Andhra Pradesh,ANANTAPUR,2014,Whole Year,Rice,29211.0,82532.0,2.8253740029440966,COASTAL ANDHRA PRADESH,874.9,1.5,128.0,519.7,225.7
Andhra Pradesh,CHITTOOR,1997,Kharif,Rice,42300.0,84400.0,1.9952718676122931,COASTAL ANDHRA PRADESH,972.1,20.7,107.6,662.7,181.0
Andhra Pradesh,CHITTOOR,1997,Rabi,Rice,57400.0,137400.0,2.3937282229965158,COASTAL ANDHRA PRADESH,972.1,20.7,107.6,662.7,181.0
Andhra Pradesh,CHITTOOR,1998,Kharif,Rice,42000.0,105400.0,2.5095238095238095,COASTAL ANDHRA PRADESH,1310.8,48.3,97.2,858.0,307.2
Andhra Pradesh,CHITTOOR,1998,Rabi,Rice,62400.0,159200.0,2.551282051282051,COASTAL ANDHRA PRADESH,1310.8,48.3,97.2,858.0,307.2
Andhra Pradesh,CHITTOOR,1999,Kharif,Rice,37542.0,75477.0,2.0104682755314047,COASTAL ANDHRA PRADESH,825.1,2.8,85.4,554.7,182.2
Andhra Pradesh,CHITTOOR,1999,Rabi,Rice,37489.0,76800.0,2.048600922937395,COASTAL ANDHRA PRADESH,825.1,2.8,85.4,554.7,182.2
Andhra Pradesh,CHITTOOR,2000,Kharif,Rice,33776.0,89236.0,2.641994315490289,COASTAL ANDHRA PRADESH,992.3,42.5,88.3,768.9,92.6
Andhra Pradesh,CHITTOOR,2000,Rabi,Rice,41442.0,97181.0,2.34498817624632,COASTAL ANDHRA PRADESH,992.3,42.5,88.3,768.9,92.6
Andhra Pradesh,CHITTOOR,2001,Kharif,Rice,24377.0,55311.0,2.268983057800386,COASTAL ANDHRA PRADESH,1009.3,8.4,124.8,598.1,278.0
Andhra Pradesh,CHITTOOR,2001,Rabi,Rice,62049.0,170573.0,2.7490048187722604,COASTAL ANDHRA PRADESH,1009.3,8.4,124.8,598.1,278.0
Andhra Pradesh,CHITTOOR,2002,Kharif,Rice,20137.0,50020.0,2.48398470477231,COASTAL ANDHRA PRADESH,703.2,28.0,77.1,435.0,163.0
Andhra Pradesh,CHITTOOR,2002,Rabi,Rice,30034.0,76827.0,2.558000932276753,COASTAL ANDHRA PRADESH,703.2,28.0,77.1,435.0,163.0
Andhra Pradesh,CHITTOOR,2003,Kharif,Rice,18495.0,38562.0,2.0849959448499593,COASTAL ANDHRA PRADESH,1096.8,25.6,72.3,634.1,364.9
Andhra Pradesh,CHITTOOR,2003,Rabi,Rice,27286.0,46714.0,1.712013486769772,COASTAL ANDHRA PRADESH,1096.8,25.6,72.3,634.1,364.9
Andhra Pradesh,CHITTOOR,2004,Kharif,Rice,19055.0,43331.0,2.273996326423511,COASTAL ANDHRA PRADESH,873.6,35.3,109.3,571.5,157.5
Andhra Pradesh,CHITTOOR,2004,Rabi,Rice,25822.0,69177.0,2.678994655719929,COASTAL ANDHRA PRADESH,873.6,35.3,109.3,571.5,157.5
Andhra Pradesh,CHITTOOR,2005,Kharif,Rice,16240.0,37173.0,2.288977832512315,COASTAL ANDHRA PRADESH,1221.6,21.6,98.0,743.6,358.4
Andhra Pradesh,CHITTOOR,2005,Rabi,Rice,66351.0,193612.0,2.917996714442887,COASTAL ANDHRA PRADESH,1221.6,21.6,98.0,743.6,358.4
Andhra Pradesh,CHITTOOR,2006,Kharif,Rice,17049.0,42520.0,2.493987917179893,COASTAL ANDHRA PRADESH,1159.6,0.0,156.3,762.6,240.7
Andhra Pradesh,CHITTOOR,2006,Rabi,Rice,29164.0,85101.0,2.9180153614044713,COASTAL ANDHRA PRADESH,1159.6,0.0,156.3,762.6,240.7
Andhra Pradesh,CHITTOOR,2007,Kharif,Rice,15000.0,42000.0,2.8,COASTAL ANDHRA PRADESH,1099.2,5.1,21.6,892.5,180.0
Andhra Pradesh,CHITTOOR,2007,Rabi,Rice,37000.0,116000.0,3.135135135135135,COASTAL ANDHRA PRADESH,1099.2,5.1,21.6,892.5,180.0
Andhra Pradesh,CHITTOOR,2008,Kharif,Rice,17596.0,46242.0,2.6279836326437827,COASTAL ANDHRA PRADESH,1107.5,64.8,147.1,771.4,124.2
Andhra Pradesh,CHITTOOR,2008,Rabi,Rice,37927.0,118636.0,3.1280090700556333,COASTAL ANDHRA PRADESH,1107.5,64.8,147.1,771.4,124.2
Andhra Pradesh,CHITTOOR,2009,Kharif,Rice,19758.0,56192.0,2.8440125518777206,COASTAL ANDHRA PRADESH,790.5,0.0,65.1,528.8,196.5
Andhra Pradesh,CHITTOOR,2009,Rabi,Rice,35155.0,113937.0,3.2409899018631774,COASTAL ANDHRA PRADESH,790.5,0.0,65.1,528.8,196.5
Andhra Pradesh,CHITTOOR,2010,Kharif,Rice,18019.0,53639.0,2.9768022642765968,COASTAL ANDHRA PRADESH,1712.4,24.1,181.2,954.0,553.1
Andhra Pradesh,CHITTOOR,2010,Rabi,Rice,43558.0,131502.0,3.0190091372422976,COASTAL ANDHRA PRADESH,1712.4,24.1,181.2,954.0,553.1
Andhra Pradesh,CHITTOOR,2011,Kharif,Rice,17342.0,55719.0,3.212951216699343,COASTAL ANDHRA PRADESH,861.9,17.9,131.2,628.4,84.4
Andhra Pradesh,CHITTOOR,2011,Rabi,Rice,33764.0,113211.0,3.3530091221419265,COASTAL ANDHRA PRADESH,861.9,17.9,131.2,628.4,84.4
Andhra Pradesh,CHITTOOR,2012,Kharif,Rice,12952.0,45241.0,3.4929740580605313,COASTAL ANDHRA PRADESH,1318.4,37.6,66.1,785.0,429.7
Andhra Pradesh,CHITTOOR,2012,Rabi,Rice,34557.0,126168.0,3.6510113725149753,COASTAL ANDHRA PRADESH,1318.4,37.6,66.1,785.0,429.7
Andhra Pradesh,CHITTOOR,2013,Kharif,Rice,15206.0,48766.0,3.207023543338156,COASTAL ANDHRA PRADESH,1120.5,31.7,76.4,545.0,467.4
Andhra Pradesh,CHITTOOR,2013,Rabi,Rice,34654.0,120249.0,3.469989034454897,COASTAL ANDHRA PRADESH,1120.5,31.7,76.4,545.0,467.4
Andhra Pradesh,CHITTOOR,2014,Kharif,Rice,13304.0,44462.0,3.3420024052916415,COASTAL ANDHRA PRADESH,874.9,1.5,128.0,519.7,225.7
Andhra Pradesh,CHITTOOR,2014,Rabi,Rice,27661.0,87962.0,3.1800007230396585,COASTAL ANDHRA PRADESH,874.9,1.5,128.0,519.7,225.7
Andhra Pradesh,CHITTOOR,2014,Whole Year,Rice,40965.0,132424.0,3.232613206395704,COASTAL ANDHRA PRADESH,874.9,1.5,128.0,519.7,225.7
Andhra Pradesh,EAST GODAVARI,1997,Kharif,Rice,214100.0,429300.0,2.0051377860812702,COASTAL ANDHRA PRADESH,972.1,20.7,107.6,662.7,181.0
Andhra Pradesh,EAST GODAVARI,1997,Rabi,Rice,154400.0,491500.0,3.1832901554404147,COASTAL ANDHRA PRADESH,972.1,20.7,107.6,662.7,181.0
Andhra Pradesh,EAST GODAVARI,1998,Kharif,Rice,256300.0,386600.0,1.5083886071010535,COASTAL ANDHRA PRADESH,1310.8,48.3,97.2,858.0,307.2
Andhra Pradesh,EAST GODAVARI,1998,Rabi,Rice,157600.0,656600.0,4.166243654822335,COASTAL ANDHRA PRADESH,1310.8,48.3,97.2,858.0,307.2
Andhra Pradesh,EAST GODAVARI,1999,Kharif,Rice,244655.0,628606.0,2.5693568494410495,COASTAL ANDHRA PRADESH,825.1,2.8,85.4,554.7,182.2
Andhra Pradesh,EAST GODAVARI,1999,Rabi,Rice,161551.0,645162.0,3.9935500244504833,COASTAL ANDHRA PRADESH,825.1,2.8,85.4,554.7,182.2
Andhra Pradesh,EAST GODAVARI,2000,Kharif,Rice,253966.0,683423.0,2.691001945142263,COASTAL ANDHRA PRADESH,992.3,42.5,88.3,768.9,92.6
Andhra Pradesh,EAST GODAVARI,2000,Rabi,Rice,162861.0,683202.0,4.195000644721572,COASTAL ANDHRA PRADESH,992.3,42.5,88.3,768.9,92.6
Andhra Pradesh,EAST GODAVARI,2001,Kharif,Rice,220811.0,579850.0,2.626001422030605,COASTAL ANDHRA PRADESH,1009.3,8.4,124.8,598.1,278.0
Andhra Pradesh,EAST GODAVARI,2002,Kharif,Rice,194809.0,551115.0,2.829001740166009,COASTAL ANDHRA PRADESH,703.2,28.0,77.1,435.0,163.0
Andhra Pradesh,EAST GODAVARI,2003,Kharif,Rice,234673.0,762453.0,3.249001802508171,COASTAL ANDHRA PRADESH,1096.8,25.6,72.3,634.1,364.9
Andhra Pradesh,EAST GODAVARI,2004,Kharif,Rice,224521.0,743614.0,3.3120019953590085,COASTAL ANDHRA PRADESH,873.6,35.3,109.3,571.5,157.5
Andhra Pradesh,EAST GODAVARI,2005,Kharif,Rice,217411.0,348727.0,1.6039988777016803,COASTAL ANDHRA PRADESH,1221.6,21.6,98.0,743.6,358.4
Andhra Pradesh,EAST GODAVARI,2006,Kharif,Rice,227930.0,547716.0,2.4030009213354977,COASTAL ANDHRA PRADESH,1159.6,0.0,156.3,762.6,240.7
Andhra Pradesh,EAST GODAVARI,2007,Kharif,Rice,242000.0,715000.0,2.9545454545454546,COASTAL ANDHRA PRADESH,1099.2,5.1,21.6,892.5,180.0
Andhra Pradesh,EAST GODAVARI,2008,Kharif,Rice,240231.0,716609.0,2.982999696125812,COASTAL ANDHRA PRADESH,1107.5,64.8,147.1,771.4,124.2
Andhra Pradesh,EAST GODAVARI,2009,Kharif,Rice,202153.0,616567.0,3.0500017313618892,COASTAL ANDHRA PRADESH,790.5,0.0,65.1,528.8,196.5
Andhra Pradesh,EAST GODAVARI,2009,Rabi,Rice,104423.0,456537.0,4.371996590789386,COASTAL ANDHRA PRADESH,790.5,0.0,65.1,528.8,196.5
Andhra Pradesh,EAST GODAVARI,2010,Kharif,Rice,237640.0,457704.0,1.926039387308534,COASTAL ANDHRA PRADESH,1712.4,24.1,181.2,954.0,553.1
Andhra Pradesh,EAST GODAVARI,2011,Kharif,Rice,197445.0,589741.0,2.9868621641469777,COASTAL ANDHRA PRADESH,861.9,17.9,131.2,628.4,84.4
Andhra Pradesh,EAST GODAVARI,2011,Rabi,Rice,139649.0,587084.0,4.203997164319114,COASTAL ANDHRA PRADESH,861.9,17.9,131.2,628.4,84.4
Andhra Pradesh,EAST GODAVARI,2012,Kharif,Rice,232300.0,355651.0,1.5309987085665089,COASTAL ANDHRA PRADESH,1318.4,37.6,66.1,785.0,429.7
Andhra Pradesh,EAST GODAVARI,2012,Rabi,Rice,168756.0,746239.0,4.4219998103771125,COASTAL ANDHRA PRADESH,1318.4,37.6,66.1,785.0,429.7
Andhra Pradesh,EAST GODAVARI,2013,Kharif,Rice,235159.0,434104.0,1.846002066686795,COASTAL ANDHRA PRADESH,1120.5,31.7,76.4,545.0,467.4
Andhra Pradesh,EAST GODAVARI,2014,Kharif,Rice,226072.0,681833.0,3.015999327647829,COASTAL ANDHRA PRADESH,874.9,1.5,128.0,519.7,225.7
Andhra Pradesh,EAST GODAVARI,2014,Whole Year,Rice,394117.0,1563229.0,3.9664084523123844,COASTAL ANDHRA PRADESH,874.9,1.5,128.0,519.7,225.7
Andhra Pradesh,GUNTUR,1997,Kharif,Rice,295000.0,845300.0,2.865423728813559,COASTAL ANDHRA PRADESH,972.1,20.7,107.6,662.7,181.0
Andhra Pradesh,GUNTUR,1997,Rabi,Rice,14500.0,51800.0,3.5724137931034483,COASTAL ANDHRA PRADESH,972.1,20.7,107.6,662.7,181.0
Andhra Pradesh,GUNTUR,1998,Kharif,Rice,298400.0,921400.0,3.0878016085790883,COASTAL ANDHRA PRADESH,1310.8,48.3,97.2,858.0,307.2
Andhra Pradesh,GUNTUR,1998,Rabi,Rice,29100.0,99900.0,3.4329896907216493,COASTAL ANDHRA PRADESH,1310.8,48.3,97.2,858.0,307.2
Andhra Pradesh,GUNTUR,1999,Kharif,Rice,302886.0,969414.0,3.200590321110913,COASTAL ANDHRA PRADESH,825.1,2.8,85.4,554.7,182.2
Andhra Pradesh,GUNTUR,1999,Rabi,Rice,14822.0,53167.0,3.5870327890972877,COASTAL ANDHRA PRADESH,825.1,2.8,85.4,554.7,182.2
Andhra Pradesh,GUNTUR,2000,Kharif,Rice,292899.0,987363.0,3.3710016080628478,COASTAL ANDHRA PRADESH,992.3,42.5,88.3,768.9,92.6
Andhra Pradesh,GUNTUR,2000,Rabi,Rice,12692.0,49600.0,3.9079735266309488,COASTAL ANDHRA PRADESH,992.3,42.5,88.3,768.9,92.6
Andhra Pradesh,GUNTUR,2001,Kharif,Rice,272468.0,935110.0,3.431999354052586,COASTAL ANDHRA PRADESH,1009.3,8.4,124.8,598.1,278.0
Andhra Pradesh,GUNTUR,2001,Rabi,Rice,44917.0,181060.0,4.030990493577042,COASTAL ANDHRA PRADESH,1009.3,8.4,124.8,598.1,278.0
Andhra Pradesh,GUNTUR,2002,Kharif,Rice,202953.0,646811.0,3.186998960350426,COASTAL ANDHRA PRADESH,703.2,28.0,77.1,435.0,163.0
Andhra Pradesh,GUNTUR,2002,Rabi,Rice,2716.0,7385.0,2.7190721649484537,COASTAL ANDHRA PRADESH,703.2,28.0,77.1,435.0,163.0
Andhra Pradesh,GUNTUR,2003,Kharif,Rice,170487.0,482990.0,2.833001929765906,COASTAL ANDHRA PRADESH,1096.8,25.6,72.3,634.1,364.9
Andhra Pradesh,GUNTUR,2003,Rabi,Rice,5772.0,16837.0,2.917013167013167,COASTAL ANDHRA PRADESH,1096.8,25.6,72.3,634.1,364.9
Andhra Pradesh,GUNTUR,2004,Kharif,Rice,240404.0,833961.0,3.4689980199996673,COASTAL ANDHRA PRADESH,873.6,35.3,109.3,571.5,157.5
Andhra Pradesh,GUNTUR,2004,Rabi,Rice,21247.0,70922.0,3.33797712618252,COASTAL ANDHRA PRADESH,873.6,35.3,109.3,571.5,157.5
Andhra Pradesh,GUNTUR,2005,Kharif,Rice,288879.0,892636.0,3.0899996192177346,COASTAL ANDHRA PRADESH,1221.6,21.6,98.0,743.6,358.4
Andhra Pradesh,GUNTUR,2005,Rabi,Rice,31434.0,111559.0,3.5489915378252848,COASTAL ANDHRA PRADESH,1221.6,21.6,98.0,743.6,358.4
Andhra Pradesh,GUNTUR,2006,Kharif,Rice,288638.0,783941.0,2.716000665193079,COASTAL ANDHRA PRADESH,1159.6,0.0,156.3,762.6,240.7
Andhra Pradesh,GUNTUR,2006,Rabi,Rice,28933.0,100947.0,3.4889918086613902,COASTAL ANDHRA PRADESH,1159.6,0.0,156.3,762.6,240.7
Andhra Pradesh,GUNTUR,2007,Kharif,Rice,283000.0,976000.0,3.4487632508833923,COASTAL ANDHRA PRADESH,1099.2,5.1,21.6,892.5,180.0
Andhra Pradesh,GUNTUR,2007,Rabi,Rice,24000.0,85000.0,3.5416666666666665,COASTAL ANDHRA PRADESH,1099.2,5.1,21.6,892.5,180.0
Andhra Pradesh,GUNTUR,2008,Kharif,Rice,281491.0,959321.0,3.407998834776245,COASTAL ANDHRA PRADESH,1107.5,64.8,147.1,771.4,124.2
Andhra Pradesh,GUNTUR,2008,Rabi,Rice,51358.0,187662.0,3.6539974298064566,COASTAL ANDHRA PRADESH,1107.5,64.8,147.1,771.4,124.2
Andhra Pradesh,GUNTUR,2009,Kharif,Rice,190526.0,683226.0,3.5859987613239137,COASTAL ANDHRA PRADESH,790.5,0.0,65.1,528.8,196.5
Andhra Pradesh,GUNTUR,2009,Rabi,Rice,112342.0,383423.0,3.4129978102579623,COASTAL ANDHRA PRADESH,790.5,0.0,65.1,528.8,196.5
Andhra Pradesh,GUNTUR,2010,Kharif,Rice,271072.0,649760.0,2.3970015346476212,COASTAL ANDHRA PRADESH,1712.4,24.1,181.2,954.0,553.1
Andhra Pradesh,GUNTUR,2010,Rabi,Rice,58393.0,201806.0,3.455996437929204,COASTAL ANDHRA PRADESH,1712.4,24.1,181.2,954.0,553.1
Andhra Pradesh,GUNTUR,2011,Kharif,Rice,281790.0,1080921.0,3.8359097200042584,COASTAL ANDHRA PRADESH,861.9,17.9,131.2,628.4,84.4
Andhra Pradesh,GUNTUR,2011,Rabi,Rice,11012.0,39060.0,3.5470395931710863,COASTAL ANDHRA PRADESH,861.9,17.9,131.2,628.4,84.4
Andhra Pradesh,GUNTUR,2012,Kharif,Rice,174699.0,607778.0,3.4790010246194885,COASTAL ANDHRA PRADESH,1318.4,37.6,66.1,785.0,429.7
Andhra Pradesh,GUNTUR,2012,Rabi,Rice,8362.0,29903.0,3.5760583592442,COASTAL ANDHRA PRADESH,1318.4,37.6,66.1,785.0,429.7
Andhra Pradesh,GUNTUR,2013,Kharif,Rice,280060.0,912716.0,3.2590016425051775,COASTAL ANDHRA PRADESH,1120.5,31.7,76.4,545.0,467.4
Andhra Pradesh,GUNTUR,2013,Rabi,Rice,48107.0,183288.0,3.810006859708566,COASTAL ANDHRA PRADESH,1120.5,31.7,76.4,545.0,467.4
Andhra Pradesh,GUNTUR,2014,Kharif,Rice,255607.0,1000190.0,3.9129992527591186,COASTAL ANDHRA PRADESH,874.9,1.5,128.0,519.7,225.7
Andhra Pradesh,GUNTUR,2014,Rabi,Rice,29695.0,111742.0,3.7629904024246508,COASTAL ANDHRA PRADESH,874.9,1.5,128.0,519.7,225.7
Andhra Pradesh,GUNTUR,2014,Whole Year,Rice,285302.0,1111932.0,3.897385927893951,COASTAL ANDHRA PRADESH,874.9,1.5,128.0,519.7,225.7
Andhra Pradesh,KADAPA,1997,Kharif,Rice,47700.0,77500.0,1.6247379454926625,COASTAL ANDHRA PRADESH,972.1,20.7,107.6,662.7,181.0
Andhra Pradesh,KADAPA,1997,Rabi,Rice,13000.0,27700.0,2.1307692307692307,COASTAL ANDHRA PRADESH,972.1,20.7,107.6,662.7,181.0
Andhra Pradesh,KADAPA,1998,Kharif,Rice,59200.0,169800.0,2.8682432432432434,COASTAL ANDHRA PRADESH,1310.8,48.3,97.2,858.0,307.2
Andhra Pradesh,KADAPA,1998,Rabi,Rice,17000.0,41600.0,2.447058823529412,COASTAL ANDHRA PRADESH,1310.8,48.3,97.2,858.0,307.2
